,Product_code,Warehouse,1 Month Forecast,MAE,MSE,RMSE,Mean,STD,MSE/Mean,RMSE/STD,KS Test Value,KS p-Value,Status
0,Product_0001,Whse_A...Sequential,1517.731889,3107.380616,15666870.04,3958.139719,4783.333333,5159.753439,3275.30384,0.767117996,0.166666667,0.998485294,deploy
1,Product_0001,Whse_J...Sequential,2993.063248,1235.53069,1869381.228,1367.253169,1661.538462,778.1026841,1125.090554,1.7571629,0.307692308,0.588196066,deploy and monitor
2,Product_0002,Whse_C...Sequential,2457.183756,3075.839589,13727547.1,3705.070458,2538.461538,2568.009843,5407.821583,1.442778916,0.692307692,0.002874834,retrain
3,Product_0002,Whse_S...Sequential,156898.4154,192503.9389,1.05537E+11,324864.376,97461.53846,54771.71559,1082856.524,5.931243389,0.384615385,0.299920197,retrain
4,Product_0003,Whse_J...Sequential,1958.363894,1437.774557,3170258.57,1780.521994,1708.333333,942.0353261,1855.761114,1.890079856,0.5,0.099546772,retrain
5,Product_0003,Whse_S...Sequential,116.761467,774.3296478,1095695.135,1046.754572,375,452.9992642,2921.853692,2.310720248,0.333333333,0.53609777,deploy and monitor
6,Product_0004,Whse_J...Sequential,2794.151258,2507.429695,9663155.029,3108.561569,2916.666667,2372.352325,3313.081724,1.310328797,0.5,0.099546772,retrain
7,Product_0005,Whse_J...Sequential,193.5778652,1013.357528,2026353.523,1423.500447,554.5454545,1062.897957,3654.080123,1.339263509,0.454545455,0.211476088,retrain
8,Product_0006,Whse_J...Sequential,209.9627471,333.3381663,145750.0017,381.7721857,172.7272727,186.3081957,843.8157996,2.049143271,0.454545455,0.211476088,retrain
9,Product_0007,Whse_J...Sequential,8065.343379,2117.885129,6704613.918,2589.326924,3158.333333,1478.432917,2122.832903,1.751399671,0.5,0.099546772,retrain
10,Product_0008,Whse_C...Sequential,4127.892098,2566.133799,11070453.72,3327.229135,3250,2145.732198,3406.293451,1.550626466,0.583333333,0.031436056,retrain
11,Product_0008,Whse_J...Sequential,5357.738462,3995.578513,27590047.45,5252.622911,3125,2685.803728,8828.815183,1.955698719,0.416666667,0.255775185,retrain
12,Product_0009,Whse_J...Sequential,1253.178403,834.770698,866294.2999,930.7493217,975,737.2527834,888.5069742,1.262456165,0.166666667,0.998485294,deploy
13,Product_0010,Whse_J...Sequential,1568.835607,1265.984751,2951828.707,1718.088678,1708.333333,1045.991024,1727.899731,1.642546292,0.416666667,0.255775185,retrain
14,Product_0011,Whse_J...Sequential,34913.94381,10850.90262,166061023.6,12886.46668,28075,6865.994101,5914.907341,1.876853736,0.5,0.099546772,retrain
15,Product_0012,Whse_C...Sequential,884.8406247,4782.015077,34540759.22,5877.138693,3166.666667,2303.37916,10907.60817,2.551528986,0.416666667,0.255775185,retrain
16,Product_0012,Whse_J...Sequential,40668.02766,26441.06382,1305277072,36128.61846,55250,17098.36737,23624.92438,2.112986444,0.416666667,0.255775185,retrain
17,Product_0012,Whse_S...Sequential,19114.50841,20474.30236,483580526.4,21990.46444,583.3333333,1440.968039,828995.1882,15.26089674,1,7.40E-07,retrain
18,Product_0013,Whse_J...Sequential,4791.866622,3304.209564,17669829.44,4203.549624,6283.333333,3159.861108,2812.174447,1.330295693,0.333333333,0.53609777,deploy and monitor
19,Product_0014,Whse_J...Sequential,9632.991271,6629.882762,57137375.64,7558.926884,9500,3840.572874,6014.460593,1.968176918,0.5,0.099546772,retrain
20,Product_0015,Whse_J...Sequential,8230.602461,4938.191805,37674272.57,6137.937159,2750,2313.907229,13699.73548,2.652628887,0.416666667,0.255775185,retrain
21,Product_0016,Whse_J...Sequential,100248.3682,35873.05805,1992907821,44641.99616,58269.23077,21435.39074,34201.71839,2.082630389,0.461538462,0.126487703,retrain
22,Product_0017,Whse_J...Sequential,8937.639031,5314.079637,42375244.91,6509.627095,7883.333333,3144.527875,5375.295338,2.070144503,0.5,0.099546772,retrain
23,Product_0018,Whse_J...Sequential,74231.97035,25110.97276,1065299203,32638.9216,49883.33333,10342.45565,21355.8143,3.155819343,0.416666667,0.255775185,retrain
24,Product_0019,Whse_J...Sequential,15718.95493,8300.992311,95378955.88,9766.215023,9838.461538,4874.82362,9694.499033,2.003398643,0.461538462,0.126487703,retrain
25,Product_0020,Whse_A...Sequential,1923.332732,3430.507822,23064988.95,4802.60231,2591.666667,1278.969855,8899.674194,3.755055128,0.333333333,0.53609777,deploy and monitor
26,Product_0020,Whse_J...Sequential,23482.7154,11333.45728,173940553.5,13188.65245,23058.33333,10981.61026,7543.500692,1.20097619,0.416666667,0.255775185,retrain
27,Product_0021,Whse_C...Sequential,61179.5703,12516.90064,237576405.7,15413.51374,21708.33333,14055.63104,10944.01869,1.096607736,0.25,0.868981671,deploy
28,Product_0021,Whse_J...Sequential,33200.23651,9869.017031,130320584.2,11415.80414,27708.33333,10518.74979,4703.299279,1.085281461,0.25,0.868981671,deploy
29,Product_0021,Whse_S...Sequential,94824.94956,53461.1564,4439892544,66632.51866,41250,19862.54851,107633.7586,3.35468123,0.75,0.001496955,retrain
30,Product_0022,Whse_J...Sequential,8086.354778,3187.395706,13120787.96,3622.262823,4000,1550.806242,3280.19699,2.335728813,0.833333333,0.00020413,retrain
31,Product_0023,Whse_J...Sequential,839.9745109,3025.43975,17126235.62,4138.385629,6991.666667,2249.984568,2449.521185,1.839295117,0.333333333,0.53609777,deploy and monitor
32,Product_0024,Whse_J...Sequential,17821.32513,6308.163084,75504023.97,8689.305149,1666.666667,1748.014747,45302.41438,4.970956432,0.416666667,0.255775185,retrain
33,Product_0025,Whse_J...Sequential,6651.217054,8346.337395,146160401.6,12089.68162,14023.07692,4736.300706,10422.84817,2.552557865,0.307692308,0.588196066,deploy and monitor
34,Product_0026,Whse_J...Sequential,5206.206973,6207.552913,155130088.3,12455.12298,4491.666667,2604.309996,34537.31095,4.782504001,0.25,0.868981671,deploy
35,Product_0027,Whse_J...Sequential,2265.417992,1321.590576,2258039.751,1502.677527,604.1666667,659.0581453,3737.445105,2.280037866,0.583333333,0.031436056,retrain
36,Product_0028,Whse_J...Sequential,554.845701,849.4648979,949628.8065,974.4889976,816.6666667,751.2027393,1162.810783,1.297238344,0.333333333,0.53609777,deploy and monitor
37,Product_0029,Whse_J...Sequential,49.6075136,244.5787195,87270.3854,295.4156147,179.1666667,136.1040248,487.0905232,2.170513438,0.5,0.099546772,retrain
38,Product_0030,Whse_J...Sequential,822.3132727,968.6946485,1427449.266,1194.759083,319.2307692,196.6434312,4471.527821,6.075764012,0.769230769,0.000499971,retrain
39,Product_0031,Whse_A...Sequential,300.1240058,3603.686417,28143410.87,5305.036369,2533.333333,1118.282413,11109.24113,4.743914691,0.25,0.868981671,deploy
40,Product_0031,Whse_J...Sequential,119915.7082,34104.31446,1505839641,38805.14967,84715.38462,16996.19171,17775.27951,2.283167332,0.538461538,0.044272446,retrain
41,Product_0031,Whse_S...Sequential,2330.847464,4490.125159,57860677.17,7606.620614,1075,2166.842942,53823.88574,3.510462373,0.75,0.001496955,retrain
